"Missing double quotes in Dockerfile VOLUME statement","<!--\r\nPlease fill in as much of the template below as you can.\r\n\r\nBe ready for followup questions, and please respond in a timely\r\nmanner. We might ask you to provide additional logs and data (tendermint & app).\r\n-->\r\n\r\n**Tendermint version** (use `tendermint version` or `git rev-parse --verify HEAD` if installed from source):\r\nAny of 0.32 and 0.33\r\n\r\n**ABCI app** (name for built-in, URL for self-written if it\'s publicly available):\r\n\r\n**Environment**:\r\n- MacOs and Ubuntu (e.g. from /etc/os-release):\r\n- **Install tools**:\r\n- **Others**:\r\n\r\n\r\n**What happened**:\r\nDuring container creation using docker-compose I get this error:\r\n```\r\n Cannot create container for service tendermint: invalid volume specification: \'48b8fe7c5f34dd6ac1c5a36d2effdc529e4a801682f3b44f3cb33f1ba46cac33:[:rw\': invalid mount config for type ""volume"": invalid mount path: \'[\' mount path must be absolute\r\n```\r\nWe expect that missing double quotes in VOLUME statement \r\n```\r\nVOLUME [ $TMHOME ]\r\n```\r\nleads to an issue with the volume being created with three paths: /tenderment, [, ].\r\n\r\n**What you expected to happen**:\r\nContainer created and started\r\n\r\n**Have you tried the latest version**: yes\r\n\r\n**How to reproduce it** (as minimally and precisely as possible):\r\nSometimes it works, sometimes it doesn\'t. You may try to create docker-compose file with tendermint as a service and try to run the whole thing. Sometimes upon container creation this error happens.\r\nOr you can start tendermint docker container, run ```docker inspect tendermint_comtainer_name``` and see there are three volumes, instead of one: \r\n``` \r\n""Volumes"": {\r\n                ""/tendermint"": {},\r\n                ""["": {},\r\n                ""]"": {}\r\n            },\r\n```\r\n\r\n**Logs (paste a small part showing an error (< 10 lines) or link a pastebin, gist, etc. containing more of the log file)**:\r\n\r\n**Config (you can paste only the changes you\'ve made)**:\r\n\r\n**node command runtime flags**:\r\n\r\n**Please provide the output from the `http://<ip>:<port>/dump_consensus_state` RPC endpoint for consensus bugs**\r\n\r\n**Anything else we need to know**:\r\nI suggest to replace \r\n```\r\nVOLUME [ $TMHOME ]\r\n```\r\n\r\nwith \r\n\r\n```\r\nVOLUME [ ""$TMHOME"" ]\r\n```\r\nThis should solve the problem.","","Rework Docker image","## Description\r\n\r\nFollow https://docs.docker.com/develop/develop-images/dockerfile_best-practices/#entrypoint or https://success.docker.com/article/use-a-script-to-initialize-stateful-container-data to resolve #5082.\r\nAlso tackles #5086.\r\n\r\nCloses: #5086\r\nCloses: #5082\r\n\r\n"
"Linker doesn\'t consider assembly references from custom attributes","Test case: [linkertestcase-14edc8c.zip](https://github.com/mono/linker/files/4851060/linkertestcase-14edc8c.zip)\r\n\r\nExtract and run ./test.sh.\r\n\r\nIt should print:\r\n\r\n> \xe2\x9c\x85 Success: linked/System.Runtime.dll exists\r\n\r\nBut it prints:\r\n\r\n> \xe2\x9d\x8c Failure: linked/System.Runtime.dll does not exist\r\n\r\nThe symptom is that after linking, the output directory does not contain System.Runtime.dll.\r\n\r\nAt runtime it fails with:\r\n\r\n>  Could not register the assembly \'Xamarin.iOS\': System.TypeLoadException: Could not load type System.Nullable`1[[System.Double, System.Runtime, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a]], System.Runtime, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a while decoding custom attribute\r\n\r\nThe problem seems to be that the linker doesn\'t take into account assembly references in custom attributes, which means that if an assembly references another assembly exclusively through a custom attribute, that other assembly might not be detected as used, and thus not copied to the output directory.\r\n\r\nIn this test case, it\'s Xamarin.iOS.dll who has a custom attribute that references System.Runtime.dll.\r\n\r\n","area-Linker: Steps","Update scope of any attribute which can exist on method.","Fixes #1304"
"`NS REGISTER` arguments warning","It\'s pretty common for people to `/nickserv register nickname password`, instead of `/nickserv register password email`.\r\n\r\nLet\'s detect this and reject it: if your password equals your nickname (under casefolding? without casefolding?), we\'ll call it a mistake and send you an error response.","good first issue","fix #1179",""
"Vertices list of minkowski sum of zonotopes","The following is not implemented:\r\n\r\n```\r\nX = rand(Zonotope)\r\nY = rand(Zonotope)\r\nvertices_list(X + Y)\r\n```","","#2211 - Vertices list of minkowski sum of zonotopes","Closes #2211."
"Blacklist .git/FETCH_HEAD in the watcher","<!--    Instructions                                -->\r\n<!--                                                -->\r\n<!-- 1. Remove sections/details you do not complete -->\r\n<!-- 2. Add sections/details useful to you          -->\r\n\r\n#### Perceived Problem\r\nSome Git clients like GitKraken auto refetch your repo.\r\nThis causes the watcher to randomly restart while GitKraken is open.\r\n\r\n`\xe2\x97\x8f nexus:dev:watcher restarting  --  type: \'add\'  file: \'.git/FETCH_HEAD\'`\r\n#### Ideas / Proposed Solution(s)\r\nBlacklist .git folder or possibly only .git/FETCH_HEAD if changes in .git are desired to be watched","effort/easy,needs/investigation,type/feat","fix: ignore dotfiles in watcher","Without this fix, when files in folders like `.git` and `.next` change, the reflection is ran again by Chokidar. The previous way of ignoring dotfiles didn\'t work properly.\r\n\r\nThe way of ignoring dotfiles I use now is also what is mentioned in the [Chokidar readme](https://github.com/paulmillr/chokidar/#api).\r\n\r\nTo reproduce this issue, clone https://github.com/SpaceK33z/graphql-nexus-watcher-issue . Start with `yarn && yarn start` and modify a random file in the repo. Stage the file with git (or alternatively: trigger a git fetch). You will now see e.g. `\xe2\x97\x8f nexus:dev:watcher restarting -- type: \'add\' file: \'.git/FETCH_HEAD\'`.\r\n\r\ncloses #731 "
"Default click behaviour of portals","It feels like we have an opportunity to make these things useful even without JavaScript.\r\n\r\nWe could make their default click behaviour to activate. This means if the user clicks on a portal, and the site\'s JavaScript fails to call activate (eg, it throws an error, fails to load, or hasn\'t loaded yet), they still get to the site they clicked on.\r\n\r\nThis makes them behave kinda like links by default.\r\n\r\n---\r\n\r\nThis also gives us an opportunity to provide defaults to shift+click, middle click etc. The complicating factor here is: What happens to a portal if it\'s opened in a new window?\r\n\r\nI guess starting a fresh navigation in a new window is least destructive, but doesn\'t make use of the pre-loaded page.\r\n\r\nAlternatively, we could activate the portal in the new window, and do \'something\' with the portal in the page. I\'m just not sure what.","design work needed","Define the activation behavior of a <portal> element.","Resolves #174.\n\n\n<!--\n    This comment and the below content is programatically generated.\n    You may add a comma-separated list of anchors you\'d like a\n    direct link to below (e.g. #idl-serializers, #idl-sequence):\n\n    Don\'t remove this comment or modify anything below this line.\n    If you don\'t want a preview generated for this pull request,\n    just replace the whole of this comment\'s content by ""no preview""\n    and remove what\'s below.\n-->\n***\n<a href=""https://pr-preview.s3.amazonaws.com/jeremyroman/portals/pull/223.html"" title=""Last updated on Jul 7, 2020, 5:21 PM UTC (533c846)"">Preview</a> | <a href=""https://pr-preview.s3.amazonaws.com/WICG/portals/223/7e745af...jeremyroman:533c846.html"" title=""Last updated on Jul 7, 2020, 5:21 PM UTC (533c846)"">Diff</a>"
"Interactive visualizations require internet connection","<!-- \xe2\x9a\xa0\xef\xb8\x8f If you do not respect this template, your issue will be closed -->\r\n<!-- \xe2\x9a\xa0\xef\xb8\x8f Make sure to browse the opened and closed issues -->\r\n\r\n### Informations\r\n\r\n- **Qiskit Terra version**: 0.6\r\n- **Python version**: 3.6\r\n- **Operating system**: OSX\r\n\r\n### What is the current behavior?\r\n\r\nThe new interactive visualizations, introduced in #765 , require having an internet connection:\r\n\r\n```javascript\r\nrequirejs.config({\r\n            paths: {\r\n                qVisualization: ""https://qvisualization.mybluemix.net/q-visualizations""\r\n            }\r\n        });\r\n```\r\nwhen it should be possible to have the required js reside locally.  @filemaster and @tansito, is there any overriding issue that prevents having the required js in terra?\r\n\r\n","type: feature request","Remove the interactive visualizations","Closes #805\r\n<!--\r\n\xe2\x9a\xa0\xef\xb8\x8f If you do not respect this template, your pull request will be closed.\r\n\xe2\x9a\xa0\xef\xb8\x8f Your pull request title should be short detailed and understandable for all.\r\n\xe2\x9a\xa0\xef\xb8\x8f Also, please add a release note file using reno if the change needs to be\r\n  documented in the release notes.\r\n\xe2\x9a\xa0\xef\xb8\x8f If your pull request fixes an open issue, please link to the issue.\r\n\r\n- [ ] I have added the tests to cover my changes.\r\n- [ ] I have updated the documentation accordingly.\r\n- [ ] I have read the CONTRIBUTING document.\r\n-->\r\n\r\n### Summary\r\n\r\nThe interactive visualization functions with each of the iplot functions\r\nwill stop working in the near future. The hard coded url that these functions\r\nrely on (see #805) where the static compile js is hosted from is going to\r\ndisappear in the near future. This will break these functions from\r\nworking on released versions of qiskit, with no ability to fix it. This\r\ncommit just deletes the functions because they won\'t work anymore once\r\nhttps://qvisualization.mybluemix.net goes away. So we can\'t even\r\nmaintain compatibility with a deprecation window once that happens. Even\r\nif we did rehost the underlying js code somewhere else we can\'t rely on a\r\nstatic url like this in the future and the application is too large to\r\nself host in terra itself.\r\n\r\n### Details and comments"
"Profile field hint is double encoded","See:\r\n\r\nhttps://github.com/humhub/humhub-modules-translation/issues/27#event-3308416290","Component:User,Kind:BUG","Fix #4140: Profile field hint is double encoded","Fixes https://github.com/humhub/humhub/issues/4140\r\n\r\n**What kind of change does this PR introduce?** (check at least one)\r\n\r\n- [x] Bugfix\r\n- [ ] Feature\r\n- [ ] Code style update\r\n- [ ] Refactor\r\n- [ ] Build-related changes\r\n- [ ] Other, please describe:\r\n\r\n**Does this PR introduce a breaking change?** (check one)\r\n\r\n- [ ] Yes\r\n- [x] No"
"Add library support for pagination","Some commands would do well with some easy pagination support. \r\n\r\nIdea currently is to split up a collection into an array of smaller collections, so you specify you want x amount of items per page and the array will contain smaller collections of the pages.","enhancement,plugins","Add library support for pagination","Closes #143 "
"Update development section in docs","We are not using `dep`, should change docs. https://aerokube.com/cm/latest/#_contributing_development","improvement","Updated development documentation (fixes #261)",""
"Optimize Repository::findById()->fetch()","Fetching rows only by their primary key should reuse identity map, as getById() method.\n","1-feature","repository: optimize findById() [closes #82]",""
"All uses of @typedef-defined types are marked deprecated","**TypeScript Version:**  latest\r\n\r\n```js\r\n/** @typedef {{ email: string, nickName?: string }} U2 */\r\n\r\n/** @type {U2} */\r\nconst u2 = { email: """" }\r\n```\r\n\r\n**Actual behavior:**\r\n`U2` in `/** @type {U2} */` is marked deprecated.\r\n\r\nWhile I dislike `@typedef` as much as the next programmer, we shouldn\'t mark every alias created with it as deprecated.","Bug,Fix Available","Mark @typedef as a type declaration","This is only important right now for marking uses of deprecated tags due to the way that deprecated type references are computed. But I\'m surprised it hasn\'t caused problems elsewhere.\r\n\r\nFixes #39466"
"It\'s not obvious when the command finished executing","","","(#98) Process end indication","Close #98 "
"It is impossible to start the bot if .bot_cache file exist and can\'t be properly parsed ","","bug","(#283) Update parsing .bot_cache file","close #283 "
"Source Map URL\'s are relative and generate unnecessary requests","## What\'s the issue?\r\n\r\nThe generated source map URLs are relative, and the browser attempts to load the source map from our server. For example https://cdn.ampproject.org/rtv/012006112352003/ww.js has this at the end of the file:\r\n```\r\n//# sourceMappingURL=ww.js.map\r\n```\r\n\r\nThe browser attemps to load the source map from `https://<our domain>/ww.js.map` which results in unnecessary 404 requests on our server.\r\n\r\n## How do we reproduce the issue?\r\n\r\n1. Open the amp-analytics playground - https://playground.amp.dev/?url=https://preview.amp.dev/documentation/examples/components/amp-analytics\r\n1. Open the browser console.\r\n1. Chrome shows this warning - `DevTools failed to load SourceMap: Could not load content for https://playground.amp.dev/ww.js.map: HTTP error: status code 404, net::ERR_HTTP_RESPONSE_CODE_FAILURE`.\r\nOn Safari it shows these **errors**:\r\n```\r\n[Error] Not allowed to load local resource: blob://nullhttps//playground.amp.dev/ww.js.map\r\n[Error] Not allowed to request resource\r\n[Error] Cannot load blob://nullhttps//playground.amp.dev/ww.js.map due to access control checks.\r\n```\r\n\r\n\r\n## What browsers are affected?\r\n\r\nChrome, Safari, probably all browsers.\r\n\r\n## Which AMP version is affected?\r\n\r\nSeen in  Version 2006112352003.","Type: Bug","\xf0\x9f\x90\x9b Replace sourceMappingURL URL with absolute URL","Fixes #29101\r\n\r\nReplaces `sourceMappingURL` with the absolute URL. Please see [issue description](https://github.com/ampproject/amphtml/issues/29101) for more details.\r\n\r\nThe unit tests pass, but I haven\'t been able to test the fix. Any help here will be appreciated!\r\n\r\n<!--\r\n# Instructions:\r\n\r\n- Pick a meaningful title for your pull request. (Use sentence case.)\r\n  - Prefix the title with an emoji to identify what is being done. (Copy-paste the emoji from the list below.)\r\n  - Do not overuse punctuation in the title (like `(chore):`).\r\n  - If it is helpful, use a simple prefix (like `ProjectX: Implement some feature`).\r\n- Enter a succinct description that says why the PR is necessary, and what it does.\r\n  - Mention the GitHub issue that is being addressed by the pull request.\r\n  - The keywords `Fixes`, `Closes`, or `Resolves` followed the issue number will automatically close the issue.\r\n\r\n> NOTE: All non-trivial changes (like introducing new features or components) should have an associated issue or reference an I2I (intent-to-implement: go.amp.dev/i2i). Please read through the contribution process (go.amp.dev/contributing/code) for more information.\r\n\r\n# Example of a good description:\r\n\r\n- Implement aspect X\r\n- Leave out feature Y because of A\r\n- Improve performance by B\r\n- Improve accessibility by C\r\n\r\n# Emojis for categorizing pull requests (copy-paste emoji into description):\r\n\r\n\xe2\x9c\xa8 New feature\r\n\xf0\x9f\x90\x9b Bug fix\r\n\xf0\x9f\x94\xa5 P0 fix\r\n\xe2\x9c\x85 Tests\r\n\xe2\x9d\x84\xef\xb8\x8f Flaky tests\r\n\xf0\x9f\x9a\x80 Performance improvements\r\n\xf0\x9f\x96\x8d CSS / Styling\r\n\xe2\x99\xbf Accessibility\r\n\xf0\x9f\x8c\x90 Internationalization\r\n\xf0\x9f\x93\x96 Documentation\r\n\xf0\x9f\x8f\x97 Infrastructure / Tooling / Builds / CI\r\n\xe2\x8f\xaa Reverting a previous change\r\n\xe2\x99\xbb\xef\xb8\x8f Refactoring\r\n\xf0\x9f\x9a\xae Deleting code\r\n\xf0\x9f\xa7\xaa Experimental code\r\n-->\r\n"
"destructive formatting when dealing with const generics","When formatting \r\n```rust\r\n#![feature(const_generics)]\r\n\r\nfn foo<\r\n    const N: [u8; {\r\n        struct Inner<\'a>(&\'a ());\r\n        3\r\n    }],\r\n>() {}\r\n```\r\nrustfmt changes the empty function argument list from `()` to  `(&\'a ()`, which is incorrect.\r\n```rust\r\n#![feature(const_generics)]\r\n\r\nfn foo<\r\n    const N: [u8; {\r\n        struct Inner<\'a>(&\'a ());\r\n        3\r\n    }],\r\n>(&\'a () {\r\n}\r\n\r\n```\r\nNote that the original code snippet current does not yet compile due to the unfinished nature of const generics,\r\nit should compile in the future though.","bug","Include const generic type bounds in their spans","Closes #4310"
"[Bug] Long URLs break word wrap in results","\r\n# \xf0\x9f\x90\x9b Bug report\r\n\r\n## Description\r\n\r\nWhen I run a scan against a very long URL, word wrap breaks in the results.\r\n\r\n<img width=""715"" alt=""long-url"" src=""https://user-images.githubusercontent.com/9647195/75826380-3f624280-5d5c-11ea-847e-c219635d45e4.png"">\r\n\r\n## Environment\r\n\r\n* __webhint version:__ 1.2.1\r\n* __Browser version:__ Edge Beta (80)\r\n\r\n","area:browser-extension,good first issue,msft-consider,priority:medium,type:bug","Fix: Break header text anywhere needed","If a report is generated on a site with a very long URL, horizontal\r\noverflow can happen.\r\nWe want to avoid this as it forces users to scroll horizontally to\r\nreveal the content.\r\n\r\nTo do this, we make sure the header text can break anywhere.\r\n\r\nFix #3587\r\n"
"Bad refs in pot files, when using rst_epilog","**To Reproduce**\r\nconf.py\r\n```python\r\nrst_epilog = """"""\r\n.. |var1| replace:: VAR1\r\n""""""\r\n```\r\nindex.rst\r\n```\r\nA\r\n======\r\n\r\na\r\n   b\r\n```\r\n\r\n`make gettext` produces index.pot with bad string numbers and ""\\<generated\\>"" refs:\r\n```\r\n#: ../../index.rst:2\r\nmsgid ""A""\r\nmsgstr """"\r\n\r\n#: ../../<generated>:1\r\nmsgid ""a""\r\nmsgstr """"\r\n\r\n#: ../../index.rst:5\r\nmsgid ""b""\r\nmsgstr """"\r\n```\r\n\r\n","bug,i18n","Fix #7894: gettext: Wrong source info is shown when using rst_epilog","### Feature or Bugfix\r\n- Bugfix\r\n\r\n### Purpose\r\n- refs: #7894 "
"Model validations ","For the models of users, projects, positions etc. setup the basic validations like presence, length, format, range, association etc. \r\n\r\nThis should have accompanying test cases with `shoudla-matchers`\r\n","backend,good first issue","Model validation #46","- closes #46 "
"Add pagination to help command","","enhancement","Add pagination to help command","Closes #156 "
